representation,source_descriptor,front_lane_slots,corpus,method,seed,problem_id,candidate_count,selected_count,occupied_descriptor_cells,cell_bins
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob024_fsm,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob025_sequence_detector,6,3,2,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob027_LIFObuffer,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob030_right_shifter,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob031_freq_div,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob035_calendar,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob036_edge_detect,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob037_parallel2serial,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob038_pulse_detect,4,2,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob039_serial2parallel,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob040_synchronizer,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob041_traffic_light,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob043_RAM,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob044_ROM,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob047_instr_reg,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob048_pe,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob049_signal_generator,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob050_square_wave,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob001_zero,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob002_m2014_q4i,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob003_step_one,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob004_vector2,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob005_notgate,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob006_vectorr,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob007_wire,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob008_m2014_q4h,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob009_popcount3,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob010_mt2015_q4a,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob011_norgate,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob012_xnorgate,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob013_m2014_q4e,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob014_andgate,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob015_vector1,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob016_m2014_q4j,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob017_mux2to1v,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob018_mux256to1,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob019_m2014_q4f,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob020_mt2015_eq2,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob021_mux256to1v,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob022_mux2to1,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob023_vector100r,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob024_hadd,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob025_reduction,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob026_alwaysblock1,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob027_fadd,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob028_m2014_q4a,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob029_m2014_q4g,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob030_popcount255,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob031_dff,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob032_vector0,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob033_ece241_2014_q1c,6,3,2,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob035_count1to10,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob036_ringer,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob037_review2015_count1k,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob038_count15,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob039_always_if,6,3,2,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob040_count10,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob041_dff8r,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob042_vector4,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob043_vector5,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob044_vectorgates,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob045_edgedetect2,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob046_dff8p,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob047_dff8ar,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob048_m2014_q4c,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob049_m2014_q4b,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob050_kmap1,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob051_gates4,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob052_gates100,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob001_accu,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob002_adder_16bit,6,3,2,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob003_adder_32bit,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob004_adder_8bit,6,3,2,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob005_adder_bcd,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob007_comparator_3bit,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob008_comparator_4bit,6,3,2,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob009_div_16bit,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob012_multi_8bit,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob013_multi_booth_8bit,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob019_sub_64bit,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob020_JC_counter,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob021_counter_12,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob023_up_down_counter,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob024_fsm,6,3,3,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob025_sequence_detector,6,3,2,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob027_LIFObuffer,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob030_right_shifter,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob031_freq_div,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob035_calendar,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob036_edge_detect,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob040_synchronizer,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob043_RAM,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob044_ROM,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob047_instr_reg,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob048_pe,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob049_signal_generator,6,3,1,2
t37_weighted_slot_1,t11_contrast_weighted_farthest,1,rtllm_gen20,classic_revolution,0,RTLLM/Prob050_square_wave,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob001_accu,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,6,3,2,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob007_comparator_3bit,6,3,2,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob008_comparator_4bit,6,3,2,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob009_div_16bit,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob012_multi_8bit,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob013_multi_booth_8bit,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob015_multi_pipe_8bit,6,3,2,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob018_float_multi,6,3,2,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob019_sub_64bit,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob020_JC_counter,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob021_counter_12,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob023_up_down_counter,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob024_fsm,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob025_sequence_detector,6,3,2,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob027_LIFObuffer,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob030_right_shifter,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob031_freq_div,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob035_calendar,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob036_edge_detect,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob037_parallel2serial,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob038_pulse_detect,4,2,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob039_serial2parallel,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob040_synchronizer,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob041_traffic_light,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob043_RAM,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob044_ROM,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob047_instr_reg,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob048_pe,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob049_signal_generator,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob050_square_wave,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob001_zero,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob002_m2014_q4i,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob003_step_one,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob004_vector2,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob005_notgate,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob006_vectorr,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob007_wire,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob008_m2014_q4h,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob009_popcount3,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob010_mt2015_q4a,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob011_norgate,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob012_xnorgate,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob013_m2014_q4e,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob014_andgate,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob015_vector1,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob016_m2014_q4j,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob017_mux2to1v,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob018_mux256to1,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob019_m2014_q4f,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob020_mt2015_eq2,6,3,1,2
t37_weighted_slot_2,t11_contrast_weighted_farthest,2,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob021_mux256to1v,6,3,1,2
